Scenario,Stress,Conflict,Load,Repeated_Issue,EVE,KIRK,SGG,Decision
High Stress + Conflict,8,8,6,True,HIGH_SUPPORT,ESCALATE_CONFLICT,MONITOR,ESCALATE_TO_HUMAN
Moderate Stress,5,3,4,False,MODERATE_SUPPORT,STABLE,CLEAR,ROUTINE_SUPPORT
Cognitive Overload,4,2,9,False,LOW_SUPPORT,STABLE,COGNITIVE_OVERLOAD,ESCALATE_TO_HUMAN
Low Risk,2,1,2,False,LOW_SUPPORT,STABLE,CLEAR,ROUTINE_SUPPORT
Repeated Mild Stress,4,2,4,True,LOW_SUPPORT,STABLE,CLEAR,SUPPORT_AND_MONITOR
High Conflict Only,3,9,3,False,LOW_SUPPORT,ESCALATE_CONFLICT,CLEAR,ESCALATE_TO_HUMAN
High Stress Only,9,2,3,False,HIGH_SUPPORT,STABLE,CLEAR,SUPPORT_AND_MONITOR
Borderline Mission Load,5,5,5,False,MODERATE_SUPPORT,MEDIATE,MONITOR,ROUTINE_SUPPORT
Team Drift Pattern,6,6,5,True,MODERATE_SUPPORT,MEDIATE,MONITOR,SUPPORT_AND_MONITOR
Operational Crisis,9,8,9,True,HIGH_SUPPORT,ESCALATE_CONFLICT,COGNITIVE_OVERLOAD,ESCALATE_TO_HUMAN
